sample_id,timestamp,fix_id,duration,fix_x,fix_Y,pt_x,pt_y
333,1529085908413974,5,291585,375.16708965861216,253.20158790212895,-1280,-1024
334,1529085908422283,5,291585,375.16708965861216,253.20158790212895,-1280,-1024
335,1529085908430616,5,291585,375.16708965861216,253.20158790212895,-1280,-1024
336,1529085908438975,5,291585,375.16708965861216,253.20158790212895,-1280,-1024
337,1529085908447308,5,291585,375.16708965861216,253.20158790212895,-1280,-1024
338,1529085908455603,5,291585,375.16708965861216,253.20158790212895,-1280,-1024
339,1529085908463936,5,291585,375.16708965861216,253.20158790212895,-1280,-1024
340,1529085908472269,5,291585,375.16708965861216,253.20158790212895,-1280,-1024
341,1529085908480547,5,291585,375.16708965861216,253.20158790212895,-1280,-1024
342,1529085908488880,5,291585,375.16708965861216,253.20158790212895,-1280,-1024
343,1529085908497333,5,291585,375.16708965861216,253.20158790212895,385.6976588514226,253.39552840404212
344,1529085908505451,5,291585,375.16708965861216,253.20158790212895,381.37759061166435,257.828806779813
345,1529085908513956,5,291585,375.16708965861216,253.20158790212895,383.11627498595044,251.4454513124656
346,1529085908522073,5,291585,375.16708965861216,253.20158790212895,376.1464171599073,249.81660529586952
347,1529085908530578,5,291585,375.16708965861216,253.20158790212895,382.2503813850926,260.3069340744987
348,1529085908538890,5,291585,375.16708965861216,253.20158790212895,-1280,-1024
349,1529085908547223,5,291585,375.16708965861216,253.20158790212895,-1280,-1024
350,1529085908555442,5,291585,375.16708965861216,253.20158790212895,370.5836566600192,236.63746491016354
351,1529085908563823,5,291585,375.16708965861216,253.20158790212895,-1280,-1024
352,1529085908572061,5,291585,375.16708965861216,253.20158790212895,381.5264043316711,256.10044410370756
353,1529085908580571,5,291585,375.16708965861216,253.20158790212895,386.24140017156606,257.1779294227017
354,1529085908588896,-1,-1,0,0,-1280,-1024
355,1529085908597229,-1,-1,0,0,-1280,-1024
356,1529085908605520,-1,-1,0,0,-1280,-1024
357,1529085908613853,-1,-1,0,0,-1280,-1024
358,1529085908622062,-1,-1,0,0,428.64523928335984,506.6190568767488
359,1529085908630562,-1,-1,0,0,-1280,-1024
360,1529085908638877,-1,-1,0,0,-1280,-1024
361,1529085908647210,-1,-1,0,0,-1280,-1024
362,1529085908655502,-1,-1,0,0,-1280,-1024
363,1529085908663835,-1,-1,0,0,-1280,-1024
364,1529085908672049,-1,-1,0,0,423.7218816319364,541.910198788275
365,1529085908680358,-1,-1,0,0,-1280,-1024
366,1529085908688691,-1,-1,0,0,-1280,-1024
367,1529085908697187,-1,-1,0,0,440.7315550328349,544.8447277026717
368,1529085908705489,-1,-1,0,0,-1280,-1024
369,1529085908713822,-1,-1,0,0,-1280,-1024
370,1529085908722115,-1,-1,0,0,-1280,-1024
371,1529085908730448,-1,-1,0,0,-1280,-1024
372,1529085908738663,-1,-1,0,0,428.5471405820863,537.7802384549286
373,1529085908747176,-1,-1,0,0,430.1184726462816,544.8909399686381
374,1529085908755288,6,108366,424.60295781187597,535.7429387123653,430.30856208177283,543.102249890333
375,1529085908763792,6,108366,424.60295781187597,535.7429387123653,425.95873668105924,543.6998676017392
376,1529085908771909,6,108366,424.60295781187597,535.7429387123653,425.20621871502954,544.3669367667753
377,1529085908780413,6,108366,424.60295781187597,535.7429387123653,426.24494511575904,535.3480839408003
378,1529085908788656,6,108366,424.60295781187597,535.7429387123653,424.76263144868426,534.6716731837951
379,1529085908797043,6,108366,424.60295781187597,535.7429387123653,418.711989823787,539.5162291910965
380,1529085908805289,6,108366,424.60295781187597,535.7429387123653,423.91283700737404,526.2385353797581
381,1529085908813788,6,108366,424.60295781187597,535.7429387123653,428.8310658134287,537.4587035095319
382,1529085908822096,6,108366,424.60295781187597,535.7429387123653,-1280,-1024
383,1529085908830429,6,108366,424.60295781187597,535.7429387123653,-1280,-1024
384,1529085908838527,6,108366,424.60295781187597,535.7429387123653,426.3879841908056,538.1135521818651
385,1529085908847031,6,108366,424.60295781187597,535.7429387123653,423.50528841780033,540.3090795883909
386,1529085908855274,6,108366,424.60295781187597,535.7429387123653,419.7515426107566,529.2157311380142
387,1529085908863654,6,108366,424.60295781187597,535.7429387123653,421.65369183625444,516.8746221762849
388,1529085908871898,-1,-1,0,0,423.21059480003896,497.79297651490197
389,1529085908880277,7,249840,438.4079944210328,499.32603352717047,433.7636755008134,496.40488030342385
390,1529085908888520,7,249840,438.4079944210328,499.32603352717047,436.19736139531597,501.1108329104027
391,1529085908896896,7,249840,438.4079944210328,499.32603352717047,427.73910237738164,504.07124881842174
392,1529085908905145,7,249840,438.4079944210328,499.32603352717047,438.479733770655,494.45720713050105
393,1529085908913647,7,249840,438.4079944210328,499.32603352717047,443.9618433144642,512.5733090529684
394,1529085908921889,7,249840,438.4079944210328,499.32603352717047,427.33917214689427,491.3521713085938
395,1529085908930270,7,249840,438.4079944210328,499.32603352717047,432.57075823275954,495.12111078214366
396,1529085908938512,7,249840,438.4079944210328,499.32603352717047,431.4795096205489,494.34584130498115
397,1529085908946892,7,249840,438.4079944210328,499.32603352717047,430.12898171524284,495.6308629394043
398,1529085908955135,7,249840,438.4079944210328,499.32603352717047,431.49779235594906,499.51473325211555
399,1529085908963515,7,249840,438.4079944210328,499.32603352717047,437.08498215069994,507.83870740176644
400,1529085908971760,7,249840,438.4079944210328,499.32603352717047,437.9038372459763,505.4574881416047
401,1529085908980263,7,249840,438.4079944210328,499.32603352717047,433.8679278890777,497.03066175081767
402,1529085908988506,7,249840,438.4079944210328,499.32603352717047,432.792185316066,496.1665622816654
403,1529085908996888,7,249840,438.4079944210328,499.32603352717047,436.83187647751765,501.59016060386784
404,1529085909005131,7,249840,438.4079944210328,499.32603352717047,428.7973616742238,492.38422602938954
405,1529085909013509,7,249840,438.4079944210328,499.32603352717047,433.85380624153186,502.67822307534516
406,1529085909021752,7,249840,438.4079944210328,499.32603352717047,433.17842677934095,499.7474688431248
407,1529085909030260,7,249840,438.4079944210328,499.32603352717047,443.23082216084003,504.24052362691145
408,1529085909038374,7,249840,438.4079944210328,499.32603352717047,437.4990067323961,498.9126724724192
409,1529085909046879,7,249840,438.4079944210328,499.32603352717047,435.3576821851311,501.94504421111196
410,1529085909055123,7,249840,438.4079944210328,499.32603352717047,431.910937964567,494.7313312711194
411,1529085909063504,7,249840,438.4079944210328,499.32603352717047,439.52190030016936,499.2171058463864
412,1529085909071746,7,249840,438.4079944210328,499.32603352717047,436.633686767309,500.7518605691148
413,1529085909080127,7,249840,438.4079944210328,499.32603352717047,436.5171819560055,499.1764248422114
414,1529085909088367,7,249840,438.4079944210328,499.32603352717047,447.55219676851993,496.3390486172866
415,1529085909096872,7,249840,438.4079944210328,499.32603352717047,457.3924074493698,499.8362766664941
416,1529085909104988,7,249840,438.4079944210328,499.32603352717047,450.02036937279627,496.152298046276
417,1529085909113494,7,249840,438.4079944210328,499.32603352717047,457.94176331022754,501.067947892705
418,1529085909121612,7,249840,438.4079944210328,499.32603352717047,453.86411840692745,498.2317951946752
419,1529085909130117,7,249840,438.4079944210328,499.32603352717047,455.73741947329836,501.02901415503584
420,1529085909138360,-1,-1,0,0,460.8551136216556,497.9049351733411
421,1529085909146739,8,133223,455.71639346608526,495.60326039858217,459.7393949610705,491.57649667421356
422,1529085909154981,8,133223,455.71639346608526,495.60326039858217,456.67021134562674,492.2107308059931
423,1529085909163488,8,133223,455.71639346608526,495.60326039858217,458.469877752068,498.0194976913044
424,1529085909171606,8,133223,455.71639346608526,495.60326039858217,456.1592318721523,498.1133193068672
425,1529085909180113,8,133223,455.71639346608526,495.60326039858217,454.9620273016626,505.68511484004557
426,1529085909188228,8,133223,455.71639346608526,495.60326039858217,448.7778945158061,488.63434307358693
427,1529085909196732,8,133223,455.71639346608526,495.60326039858217,452.6873808274104,491.4384655401809
428,1529085909204977,8,133223,455.71639346608526,495.60326039858217,453.7650697605568,493.57451581105124
429,1529085909213351,8,133223,455.71639346608526,495.60326039858217,455.5633423682593,494.91944016120397
430,1529085909221598,8,133223,455.71639346608526,495.60326039858217,455.85093771558604,493.4753831840353
431,1529085909230098,8,133223,455.71639346608526,495.60326039858217,454.3911566371389,491.5538177972194
432,1529085909238221,8,133223,455.71639346608526,495.60326039858217,452.92397253768286,493.26723711483646
433,1529085909246719,8,133223,455.71639346608526,495.60326039858217,451.0872135590762,503.98975738021545
434,1529085909254842,8,133223,455.71639346608526,495.60326039858217,452.7012181954342,493.3237781181233
435,1529085909263340,8,133223,455.71639346608526,495.60326039858217,455.551098746364,493.1855145189911
436,1529085909271588,8,133223,455.71639346608526,495.60326039858217,455.9138410075684,495.9131930709118
437,1529085909279962,8,133223,455.71639346608526,495.60326039858217,471.9648198199866,506.3748216871172
438,1529085909288209,-1,-1,0,0,510.20758255923283,507.57654056407046
439,1529085909296711,9,133238,553.0597947016684,514.9013148148832,538.5717351690982,511.07203404942993
